Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
S2Y_+1,18,18,-18,-18,207,0,-47,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,18,18,-18,-18,207,0,47,0,1,0,0,0,Down,S1Y_-1
S2X_-1,18,18,-18,-18,207,-47,0,0,1,0,0,0,Left,S1X_-1
S2X_+1,18,18,-18,-18,207,47,0,0,1,0,0,0,Right,S1X_+1
S2Y_+1,18,18,-18,-18,206,-47,0,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,18,18,-18,-18,206,-47,94,0,1,0,0,0,Down,S1Y_-1
S2X_-1,18,18,-18,-18,206,-94,47,0,1,0,0,0,Left,S1X_-1
S2X_+1,18,18,-18,-18,206,0,47,0,1,0,0,0,Right,S1X_+1
S2Y_+1,18,18,-18,-18,208,47,-94,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,18,18,-18,-18,208,47,0,0,1,0,0,0,Down,S1Y_-1
S2X_-1,18,18,-18,-18,208,0,-47,0,1,0,0,0,Left,S1X_-1
S2X_+1,18,18,-18,-18,208,94,-47,0,1,0,0,0,Right,S1X_+1
